Hora,Temperatura,Umidade,Radiacao
9,23.091043908112777,91.59872055830184,0.29230769230769227
10,23.170343422584413,91.52357392316647,25.422389407162214
11,24.59930293348824,86.91373801916933,323.4970955562012
12,26.308051948051904,79.81645021645022,877.0900721500706
13,27.827617119722312,73.03123192596877,1465.0544823597438
14,29.017052692530395,68.06687898089172,1965.9524898668217
15,29.82668596237341,64.61765557163531,2275.802865412447
16,30.399449275362258,62.29536231884058,2430.436898550727
17,30.77900840823421,60.768338648883734,2422.524383879384
18,30.863990692262956,60.13030831878999,2191.340401396161
19,30.621144350856813,60.93261690386291,1754.580854154562
20,29.973772872494887,63.56317165262852,1146.0327040371765
21,28.825784883720907,68.89563953488373,503.5055248618783
22,27.238050773271027,76.63116428363,59.32474347698628
